wiki_db	log_month	num_blocks
itwiki	2017-07-01	480
itwiki	2017-08-01	443
itwiki	2017-09-01	647
itwiki	2017-10-01	748
itwiki	2017-11-01	643
itwiki	2017-12-01	674
itwiki	2018-01-01	639
itwiki	2018-02-01	1035
itwiki	2018-03-01	764
itwiki	2018-04-01	703
itwiki	2018-05-01	834
itwiki	2018-06-01	710
itwiki	2018-07-01	599
itwiki	2018-08-01	676
itwiki	2018-09-01	424
itwiki	2018-10-01	612
itwiki	2018-11-01	804
itwiki	2018-12-01	877
